2018-08-20 19:43:32 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.6.Final
2018-08-20 19:43:32 [main] INFO  com.study.demo.DemoApplication - Starting DemoApplication on macs-MacBook-Pro-4.local with PID 41175 (/Users/mac/work/git/demo/target/classes started by mac in /Users/mac/work/git/demo)
2018-08-20 19:43:32 [main] INFO  com.study.demo.DemoApplication - No active profile set, falling back to default profiles: default
2018-08-20 19:43:33 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@2a49fe: startup date [Mon Aug 20 19:43:33 CST 2018]; root of context hierarchy
2018-08-20 19:43:37 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2018-08-20 19:43:39 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.amqp.rabbit.annotation.RabbitBootstrapConfiguration' of type [org.springframework.amqp.rabbit.annotation.RabbitBootstrapConfiguration$$EnhancerBySpringCGLIB$$80cd2f2c] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-08-20 19:43:42 [main] INFO  o.s.b.c.e.tomcat.TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 8888 (http)
2018-08-20 19:43:42 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2018-08-20 19:43:42 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.23
2018-08-20 19:43:43 [localhost-startStop-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2018-08-20 19:43:43 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 9726 ms
2018-08-20 19:43:43 [localhost-startStop-1] INFO  o.s.boot.web.servlet.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/]
2018-08-20 19:43:43 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
2018-08-20 19:43:43 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2018-08-20 19:43:43 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2018-08-20 19:43:43 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
2018-08-20 19:43:43 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'logFilter' to: [/*]
2018-08-20 19:43:44 [main] INFO  com.study.demo.config.RedisConfig - JedisPool注入成功！！
2018-08-20 19:43:44 [main] INFO  com.study.demo.config.RedisConfig - redis地址：127.0.0.1:6379
2018-08-20 19:43:46 [main] INFO  com.study.demo.config.ZookeeperConfig - 开始连接zookeeper服务器127.0.0.1:2181
2018-08-20 19:43:46 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:zookeeper.version=3.4.8--1, built on 02/06/2016 03:18 GMT
2018-08-20 19:43:46 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:host.name=10.120.21.190
2018-08-20 19:43:46 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:java.version=1.8.0_45
2018-08-20 19:43:46 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:java.vendor=Oracle Corporation
2018-08-20 19:43:46 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:java.home=/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre
